doc_type,filename,n_pages,n_chars,chars_per_page,is_scanned,title_by_font,title_by_keyword,n_articles,n_circled,n_numbered,n_tables,structure,compliance_no,compliance_date,error
desc,hana_desc_deposit_balhaengeoeum_20250901.pdf,2,1,0,True,,,0,0,0,3,scanned,,,
desc,hana_desc_deposit_cheongnyeon_jutaekdeurim_cheongyaktongjang_20260630.pdf,9,14150,1572,False,『청년주택드림청약통장』요약상품설명서,『청년 주택드림 청약통장』 요약 상품설명서,35,58,40,13,article,,,
desc,hana_desc_deposit_eoeumgwanrigyejwa_20250901.pdf,2,1,0,True,,,0,0,0,2,scanned,,,
desc,hana_desc_deposit_goldeu_silbeoba(hangukgeumgeoraeso)_20260206.pdf,2,2199,1099,False,『골드·실버바(한국금거래소)』 상품설명서,『골드·실버바(한국금거래소)』 상품설명서,0,0,0,3,flat,,,
desc,hana_desc_deposit_goldeuba(hangukjopyegongsa)_20250121.pdf,2,2083,1041,False,『골드바(한국조폐공사)』 상품설명서,『골드바(한국조폐공사)』 상품설명서,0,0,0,3,flat,,,
desc,hana_desc_deposit_hana_billieondalleo_tongjang_20250901.pdf,4,4988,1247,False,『하나 빌리언달러 통장』 요약 상품설명서,『하나 빌리언달러 통장』 요약 상품설명서,0,0,0,19,flat,,,
desc,hana_desc_deposit_hana_bojeungseodambodaechul_ipgeumjeonyonggyejwa_20250901.pdf,3,3767,1255,False,『하나보증서담보대출입금전용계좌』상품설명서,『하나 보증서담보대출 입금전용계좌』상품설명서,1,4,0,4,flat,,,
desc,hana_desc_deposit_hana_bugagachise_maeipja_napbujeonyonggyejwa_20250901.pdf,4,7544,1886,False,『하나 부가가치세 매입자 납부전용계좌』 요약 상품설명서,『하나 부가가치세 매입자 납부전용계좌』 요약 상품설명서,7,11,8,4,article,,,
desc,hana_desc_deposit_hanadeosoho_gamaengjeom_jeokgeum_20251217.pdf,4,5309,1327,False,『하나더소호가맹점적금』요약상품설명서,『하나더소호 가맹점 적금』 요약 상품설명서,2,4,0,12,flat,,,
desc,hana_desc_deposit_jutaekcheongyagyegeum_20260310.pdf,4,4631,1157,False,『주택청약예금』요약상품설명서,『주택청약예금』 요약 상품설명서,1,16,0,11,clause,,,
desc,hana_desc_deposit_jutaekcheongyakbugeum_20260310.pdf,4,4458,1114,False,『주택청약부금』요약상품설명서,『주택청약부금』 요약 상품설명서,1,15,0,9,clause,,,
desc,hana_desc_deposit_jutaekcheongyakjeochuk_20250101.pdf,4,5488,1372,False,『주택청약저축』요약상품설명서,『주택청약저축』 요약 상품설명서,3,30,0,6,clause,,,
desc,hana_desc_deposit_jutaekcheongyakjonghapjeochuk_20260630.pdf,6,6822,1137,False,『주택청약종합저축』요약상품설명서,『주택청약종합저축』 요약 상품설명서,3,33,2,9,clause,,,
desc,hana_desc_deposit_kupang_selleo_tongjang_20250901.pdf,5,14,2,True,,,0,0,0,6,scanned,,,
desc,hana_desc_deposit_narasarang_hanatongjang_20260701.pdf,4,5348,1337,False,『나라사랑하나통장』요약상품설명서,『나라사랑 하나통장』 요약 상품설명서,0,3,3,8,flat,,,
desc,hana_desc_deposit_saeopja_jugeorae_udaetongjang_20250901.pdf,2,3572,1786,False,『사업자 주거래 우대통장』 상품설명서,『사업자 주거래 우대통장』 상품설명서,1,4,6,4,numbered,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeong(juui)daechuryeongyeijayulseuwap(gogaekgojeonggeumrijigeup)_20251208.pdf,8,12698,1587,False,장외파생상품설명서,장외파생상품설명서,2,2,0,3,flat,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(gyeonggo)Forward_20251208.pdf,5,7720,1544,False,장외파생상품설명서,장외파생상품설명서,2,0,0,3,flat,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(gyeonggo)FXseuwap_20251208.pdf,5,7659,1531,False,장외파생상품설명서,장외파생상품설명서,2,0,0,1,flat,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(gyeonggo)NDF_20251208.pdf,5,7659,1531,False,장외파생상품설명서,장외파생상품설명서,2,0,0,1,flat,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(gyeonggo)tonghwaseuwap(gogaegwonhwagojeongjigeup)_20251208.pdf,5,7954,1590,False,장외파생상품설명서,장외파생상품설명서,2,0,0,6,flat,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(gyeonggo)tonghwaseuwap(gogaegwonhwagojeongsuchwi)_20251208.pdf,5,7952,1590,False,장외파생상품설명서,장외파생상품설명서,2,0,0,6,flat,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(juui)ijayulseuwap(gogaekgojeonggeumrijigeup)_20251208.pdf,5,7570,1514,False,장외파생상품설명서,장외파생상품설명서,2,0,0,0,flat,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(juui)ijayulseuwap(gogaekgojeonggeumrisuchwi)_20251208.pdf,5,7589,1517,False,장외파생상품설명서,장외파생상품설명서,2,0,0,0,flat,,,
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(wiheom)Enhanced_Forward(gogaekmaedo)_20251208.pdf,7,10402,1486,False,장외파생상품설명서,장외파생상품설명서,2,3,0,4,flat,,,
