doc_id,orig_filename,current_title,current_subtitle,reasons,candidate_1,candidate_2,candidate_3,corrected_title,corrected_subtitle
hana_desc_derivatives_013,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(wiheom)Target Redemption Forward(gogaekmaedo)_20251208.pdf,장외파생상품설명서,Target Redemption Forward – 고객이 조기종료 조건부로 외화 매도,부제 이상,장외파생상품설명서,,,,
hana_desc_derivatives_014,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(wiheom)Target Redemption Forward(gogaekmaesu)_20251208.pdf,장외파생상품설명서,Target Redemption Forward – 고객이 조기종료 조건부로 외화 매수,부제 이상,장외파생상품설명서,,,,
hana_terms_deposit_002,hana_terms_deposit_yegeumgeorae_gibonyakgwan_20250226.pdf,예금거래 기본약관,,신뢰도 medium,예금거래 기본약관,,,,
hana_terms_loan_008,hana_terms_loan_daechulgeoraechugayakjeongseo(guibyongdo_bogeumjarirone_daehan_jeonibuimu_yuye_chugayakjeongyong)_20260417.pdf,대출거래추가약정서,(구입용도 보금자리론에 대한 전입의무 유예 추가약정용),신뢰도 medium,,,,,
hana_terms_loan_009,hana_terms_loan_daechulgeoraechugayakjeongseo(sudogwon_gyujejiyeok_sojae_apateue_daehan_jeonibuimu_chugayakjeongyong)_20260417.pdf,대출거래추가약정서,(수도권 · 규제지역 소재 아파트에 대한 전입의무 유예 추가약정용),신뢰도 medium,,,,,
hana_terms_loan_010,hana_terms_loan_daechulgeoraechugayakjeongseo_20210617.pdf,대출거래 추가약정서,,신뢰도 medium,,,,,
hana_terms_loan_013,hana_terms_loan_daechulgeoraeyakjeongseo(hangukjutaekgeumyunggongsa_chaegwonyudonghwamokjeok_bogeumjarironyong-yeongyehyeong)_20230602.pdf,대출거래약정서,(한국주택금융공사 채권유동화목적 보금자리론용 - 연계형),신뢰도 medium,※ 은행은 본인에게 이 대출거래약정서(이하“약정서”)상의 중요한 내용을 설명하여야,"하며, 은행여신거래기본약관(가계용) (이하“기본약관”)과 이 약정서의 사본을교부",,,
hana_terms_loan_017,hana_terms_loan_eunhaengyeosingeoraegibonyakgwan(gagyeyong)_20241017.pdf,은행여신거래 기본약관,(가계용),신뢰도 medium,은행여신거래 기본약관 (가계용),,,,
hana_terms_loan_018,hana_terms_loan_eunhaengyeosingeoraegibonyakgwan(gieobyong)_20241017.pdf,은행여신거래 기본약관,(기업용),신뢰도 medium,은행여신거래기본약관 (기업용),,,,
hana_terms_loan_021,hana_terms_loan_yeosingeoraechugayakjeongseo(handoyakjeongsusuryo_yakjeongyong)_20210325.pdf,여신거래추가약정서,,신뢰도 medium,여신거래추가약정서,,,,
