refuse_top1,refuse_gap,answer_top1,answer_gap,uncertain,tp,fn,fp,tn,refusal_accuracy,false_answer_rate,over_refusal_rate,answer_accuracy,precision,f1,balanced_accuracy,n,cost
0.84,0.18,0.88,0.3,14,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.88,0.34,16,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.88,0.38,17,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.88,0.42,17,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.9,0.3,14,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.9,0.34,16,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.9,0.38,17,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.9,0.42,17,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.92,0.3,14,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.92,0.34,16,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.92,0.38,17,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.92,0.42,17,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.94,0.3,14,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
0.84,0.18,0.94,0.34,16,25,8,3,17,0.7576,0.2424,0.15,0.85,0.8929,0.8197,0.8038,53,0.6348
