hard_top1,hard_gap15,blank_ratio,to_llm,tp,fn,fp,tn,refusal_accuracy,false_answer_rate,over_refusal_rate,answer_accuracy,precision,f1,balanced_accuracy,n,cost
0.75,0.08,0.2,22,30,3,1,19,0.9091,0.0909,0.05,0.95,0.9677,0.9375,0.9295,53,0.2318
0.5,0.03,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.5,0.05,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.5,0.08,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.5,0.12,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.55,0.03,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.55,0.05,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.55,0.08,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.55,0.12,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.6,0.03,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.65,0.03,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.7,0.03,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.75,0.03,0.2,24,29,4,0,20,0.8788,0.1212,0.0,1.0,1.0,0.9355,0.9394,53,0.2424
0.75,0.12,0.2,21,30,3,2,18,0.9091,0.0909,0.1,0.9,0.9375,0.9231,0.9045,53,0.2818
0.6,0.05,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.6,0.08,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.6,0.12,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.65,0.05,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.65,0.08,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.65,0.12,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.7,0.05,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.7,0.08,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.75,0.05,0.2,23,29,4,1,19,0.8788,0.1212,0.05,0.95,0.9667,0.9206,0.9144,53,0.2924
0.7,0.12,0.2,22,29,4,2,18,0.8788,0.1212,0.1,0.9,0.9355,0.9062,0.8894,53,0.34240000000000004
0.75,0.12,0.35,22,29,4,2,18,0.8788,0.1212,0.1,0.9,0.9355,0.9062,0.8894,53,0.34240000000000004
0.75,0.08,0.35,24,28,5,1,19,0.8485,0.1515,0.05,0.95,0.9655,0.9032,0.8992,53,0.353
0.5,0.03,0.35,26,27,6,0,20,0.8182,0.1818,0.0,1.0,1.0,0.9,0.9091,53,0.3636
0.5,0.05,0.35,26,27,6,0,20,0.8182,0.1818,0.0,1.0,1.0,0.9,0.9091,53,0.3636
0.5,0.08,0.35,26,27,6,0,20,0.8182,0.1818,0.0,1.0,1.0,0.9,0.9091,53,0.3636
0.5,0.12,0.35,26,27,6,0,20,0.8182,0.1818,0.0,1.0,1.0,0.9,0.9091,53,0.3636
0.55,0.03,0.35,26,27,6,0,20,0.8182,0.1818,0.0,1.0,1.0,0.9,0.9091,53,0.3636
0.55,0.05,0.35,26,27,6,0,20,0.8182,0.1818,0.0,1.0,1.0,0.9,0.9091,53,0.3636
0.55,0.08,0.35,26,27,6,0,20,0.8182,0.1818,0.0,1.0,1.0,0.9,0.9091,53,0.3636
