hard_top1,hard_gap15,blank_ratio,to_llm,tp,fn,fp,tn,refusal_accuracy,false_answer_rate,over_refusal_rate,answer_accuracy,precision,f1,balanced_accuracy,n,cost
0.75,0.08,0.05,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.75,0.08,0.1,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.75,0.08,0.15,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.75,0.08,0.2,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.8,0.08,0.05,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.8,0.08,0.1,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.8,0.08,0.15,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.8,0.08,0.2,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.85,0.08,0.05,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.85,0.08,0.1,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.85,0.08,0.15,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.85,0.08,0.2,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.9,0.08,0.05,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.9,0.08,0.1,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.9,0.08,0.15,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.9,0.08,0.2,22,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20211
0.75,0.08,0.35,24,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20588
0.8,0.08,0.35,24,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20588
0.85,0.08,0.35,24,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20588
0.9,0.08,0.35,24,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20588
0.75,0.08,0.5,25,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20777
0.75,0.08,0.6,25,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20777
0.75,0.08,0.8,25,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20777
0.8,0.08,0.5,25,32,1,2,18,0.9697,0.0303,0.1,0.9,0.9412,0.9552,0.9348,53,0.20777
